IL,Name,SMILES,logEC50,Dataset,Normalized SMILES
1,(Ethoxymethyl)ethyldimethylammonium Chloride,[N+](C)(C)(CC)COCC.[Cl-] ,3.59,Training,C[N+](CC)(C)COCC.[Cl-]
1,(Ethoxymethyl)ethyldimethylammonium Chloride,[N+](C)(C)(CC)COCC.[Cl-] ,3.59,Training,CCOC[N+](C)(CC)C.[Cl-]
1,(Ethoxymethyl)ethyldimethylammonium Chloride,[N+](C)(C)(CC)COCC.[Cl-] ,3.59,Training,C[N+](COCC)(C)CC.[Cl-]
1,(Ethoxymethyl)ethyldimethylammonium Chloride,[N+](C)(C)(CC)COCC.[Cl-] ,3.59,Training,CC[N+](COCC)(C)C.[Cl-]
1,(Ethoxymethyl)ethyldimethylammonium Chloride,[N+](C)(C)(CC)COCC.[Cl-] ,3.59,Training,C(OCC)[N+](C)(CC)C.[Cl-]
1,(Ethoxymethyl)ethyldimethylammonium Chloride,[N+](C)(C)(CC)COCC.[Cl-] ,3.59,Training,C[N+](COCC)(C)CC.[Cl-]
1,(Ethoxymethyl)ethyldimethylammonium Chloride,[N+](C)(C)(CC)COCC.[Cl-] ,3.59,Training,[Cl-].[N+](C)(COCC)(CC)C
1,(Ethoxymethyl)ethyldimethylammonium Chloride,[N+](C)(C)(CC)COCC.[Cl-] ,3.59,Training,C(C)[N+](COCC)(C)C.[Cl-]
1,(Ethoxymethyl)ethyldimethylammonium Chloride,[N+](C)(C)(CC)COCC.[Cl-] ,3.59,Training,O(CC)C[N+](CC)(C)C.[Cl-]
1,(Ethoxymethyl)ethyldimethylammonium Chloride,[N+](C)(C)(CC)COCC.[Cl-] ,3.59,Training,C(OCC)[N+](C)(CC)C.[Cl-]
2,(Ethoxymethyl)ethyldimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)COCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.8,Training,O=S(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F.[N+](COCC)(C)(C)CC
2,(Ethoxymethyl)ethyldimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)COCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.8,Training,C([N+](C)(COCC)C)C.FC(F)(F)S(=O)([N-]S(C(F)(F)F)(=O)=O)=O
2,(Ethoxymethyl)ethyldimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)COCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.8,Training,CCOC[N+](C)(C)CC.FC(F)(F)S(=O)([N-]S(C(F)(F)F)(=O)=O)=O
2,(Ethoxymethyl)ethyldimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)COCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.8,Training,C([N+](C)(CC)C)OCC.O=S([N-]S(=O)(C(F)(F)F)=O)(=O)C(F)(F)F
2,(Ethoxymethyl)ethyldimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)COCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.8,Training,C([N+](CC)(C)C)OCC.O=S([N-]S(C(F)(F)F)(=O)=O)(=O)C(F)(F)F
2,(Ethoxymethyl)ethyldimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)COCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.8,Training,C(OC[N+](CC)(C)C)C.S(=O)(=O)([N-]S(=O)(C(F)(F)F)=O)C(F)(F)F
2,(Ethoxymethyl)ethyldimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)COCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.8,Training,FC(F)(F)S(=O)([N-]S(=O)(=O)C(F)(F)F)=O.[N+](CC)(C)(C)COCC
2,(Ethoxymethyl)ethyldimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)COCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.8,Training,FC(F)(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)F.[N+](CC)(C)(COCC)C
2,(Ethoxymethyl)ethyldimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)COCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.8,Training,C(OC[N+](C)(C)CC)C.[N-](S(=O)(C(F)(F)F)=O)S(C(F)(F)F)(=O)=O
2,(Ethoxymethyl)ethyldimethylammonium Bis(trifluoromethylsulfonyl)amide,[N+](C)(C)(CC)COCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F ,3.8,Training,C(F)(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)F.CC[N+](C)(COCC)C
3,"Tetraethylammonium Bis[1,2-benzenediolato(2-)-O1,O2]borate",O1c4c(O[B-]12Oc3c(O2)cccc3)cccc4.CC[N+](CC)(CC)CC,1.17,Training,CC[N+](CC)(CC)CC.O1[B-]2(Oc3c1cccc3)Oc1c(O2)cccc1
3,"Tetraethylammonium Bis[1,2-benzenediolato(2-)-O1,O2]borate",O1c4c(O[B-]12Oc3c(O2)cccc3)cccc4.CC[N+](CC)(CC)CC,1.17,Training,CC[N+](CC)(CC)CC.c1cccc2O[B-]3(Oc12)Oc1c(cccc1)O3
3,"Tetraethylammonium Bis[1,2-benzenediolato(2-)-O1,O2]borate",O1c4c(O[B-]12Oc3c(O2)cccc3)cccc4.CC[N+](CC)(CC)CC,1.17,Training,CC[N+](CC)(CC)CC.c1ccc2O[B-]3(Oc2c1)Oc1c(O3)cccc1
3,"Tetraethylammonium Bis[1,2-benzenediolato(2-)-O1,O2]borate",O1c4c(O[B-]12Oc3c(O2)cccc3)cccc4.CC[N+](CC)(CC)CC,1.17,Training,CC[N+](CC)(CC)CC.c12ccccc2O[B-]2(O1)Oc1c(O2)cccc1
3,"Tetraethylammonium Bis[1,2-benzenediolato(2-)-O1,O2]borate",O1c4c(O[B-]12Oc3c(O2)cccc3)cccc4.CC[N+](CC)(CC)CC,1.17,Training,CC[N+](CC)(CC)CC.c1cccc2c1O[B-]1(Oc3c(O1)cccc3)O2
3,"Tetraethylammonium Bis[1,2-benzenediolato(2-)-O1,O2]borate",O1c4c(O[B-]12Oc3c(O2)cccc3)cccc4.CC[N+](CC)(CC)CC,1.17,Training,C(C)[N+](CC)(CC)CC.c1c2O[B-]3(Oc4ccccc4O3)Oc2ccc1
3,"Tetraethylammonium Bis[1,2-benzenediolato(2-)-O1,O2]borate",O1c4c(O[B-]12Oc3c(O2)cccc3)cccc4.CC[N+](CC)(CC)CC,1.17,Training,CC[N+](CC)(CC)CC.c1ccc2c(O[B-]3(O2)Oc2c(O3)cccc2)c1
3,"Tetraethylammonium Bis[1,2-benzenediolato(2-)-O1,O2]borate",O1c4c(O[B-]12Oc3c(O2)cccc3)cccc4.CC[N+](CC)(CC)CC,1.17,Training,CC[N+](CC)(CC)CC.O1[B-]2(Oc3ccccc3O2)Oc2c1cccc2
3,"Tetraethylammonium Bis[1,2-benzenediolato(2-)-O1,O2]borate",O1c4c(O[B-]12Oc3c(O2)cccc3)cccc4.CC[N+](CC)(CC)CC,1.17,Training,O1c2ccccc2O[B-]21Oc1ccccc1O2.[N+](CC)(CC)(CC)CC
3,"Tetraethylammonium Bis[1,2-benzenediolato(2-)-O1,O2]borate",O1c4c(O[B-]12Oc3c(O2)cccc3)cccc4.CC[N+](CC)(CC)CC,1.17,Training,C([N+](CC)(CC)CC)C.c1cc2O[B-]3(Oc2cc1)Oc1c(cccc1)O3
4,Benzyldecyldimethylammonium Chloride,[N+](C)(C)(Cc1ccccc1)CCCCCCCCCC.[Cl-] ,0.64,Test,C(CCCCCCC[N+](Cc1ccccc1)(C)C)CC.[Cl-]
4,Benzyldecyldimethylammonium Chloride,[N+](C)(C)(Cc1ccccc1)CCCCCCCCCC.[Cl-] ,0.64,Test,[Cl-].[N+](C)(C)(Cc1ccccc1)CCCCCCCCCC
4,Benzyldecyldimethylammonium Chloride,[N+](C)(C)(Cc1ccccc1)CCCCCCCCCC.[Cl-] ,0.64,Test,C(CCCCCC)CCC[N+](C)(Cc1ccccc1)C.[Cl-]
4,Benzyldecyldimethylammonium Chloride,[N+](C)(C)(Cc1ccccc1)CCCCCCCCCC.[Cl-] ,0.64,Test,[Cl-].c1cc(ccc1)C[N+](CCCCCCCCCC)(C)C
4,Benzyldecyldimethylammonium Chloride,[N+](C)(C)(Cc1ccccc1)CCCCCCCCCC.[Cl-] ,0.64,Test,C(CCCCC[N+](C)(C)Cc1ccccc1)CCCC.[Cl-]
4,Benzyldecyldimethylammonium Chloride,[N+](C)(C)(Cc1ccccc1)CCCCCCCCCC.[Cl-] ,0.64,Test,[Cl-].c1ccccc1C[N+](C)(CCCCCCCCCC)C
4,Benzyldecyldimethylammonium Chloride,[N+](C)(C)(Cc1ccccc1)CCCCCCCCCC.[Cl-] ,0.64,Test,[Cl-].[N+](CCCCCCCCCC)(Cc1ccccc1)(C)C
4,Benzyldecyldimethylammonium Chloride,[N+](C)(C)(Cc1ccccc1)CCCCCCCCCC.[Cl-] ,0.64,Test,C(CCC)CCCCCC[N+](C)(Cc1ccccc1)C.[Cl-]
4,Benzyldecyldimethylammonium Chloride,[N+](C)(C)(Cc1ccccc1)CCCCCCCCCC.[Cl-] ,0.64,Test,C[N+](Cc1ccccc1)(CCCCCCCCCC)C.[Cl-]
4,Benzyldecyldimethylammonium Chloride,[N+](C)(C)(Cc1ccccc1)CCCCCCCCCC.[Cl-] ,0.64,Test,[Cl-].c1cc(ccc1)C[N+](C)(CCCCCCCCCC)C
