Normalized SMILES,logEC50,RANDOM,IL
C/C=C/C(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,4.15,1,1
CC(=O)CCn1cc[n+](C)c1.[Br-],3.78,2,2
CC(=O)OCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.91,3,3
CC(=O)[O-].CCn1cc[n+](C)c1,4.227654641000001,4,4
CC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,4.1,5,5
CC(=O)[O-].C[NH+](C)CCO,3.39,6,6
CC(=O)[O-].OCC[NH2+]CCO,4.032215703,7,7
CC(C)C(=O)[O-].OCC[NH2+]CCO,3.474216264,8,8
CC(O)C(=O)[O-].C[N+](C)(C)CCO,4.6,9,9
CC(O)C(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,4.3,10,10
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCCCOC[n+]1cccc(O)c1,1.6,11,11
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCOC[n+]1cccc(O)c1,3.0,12,12
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCOC[n+]1cccc(O)c1,3.4,13,13
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCOC[n+]1cccc(O)c1,3.7,14,14
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCOC[n+]1cccc(O)c1,3.5,15,15
CCC(=O)[O-].OCC[NH2+]CCO,3.767155866,16,16
CCC(CC)C(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,4.13,17,17
CCCC(=O)[O-].OCC[NH+](CCO)CCO,3.394451681,18,18
CCCC(=O)[O-].OCC[NH2+]CCO,3.245512668,19,19
CCCC(=O)[O-].[NH3+]CCCO,3.260071388,20,20
CCCCC(=O)[O-].OCC[NH+](CCO)CCO,3.530199698,21,21
CCCCC(=O)[O-].OCC[NH2+]CCO,3.72427587,22,22
CCCCCC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,3.63,23,23
CCCCCCCC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,3.22,24,24
CCCCCCCCC=CCCCCCCCC1=[N+](CC)CCN1CCO.CCOS(=O)(=O)[O-],0.068185862,25,25
CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],0.012837225,26,26
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.33,27,27
CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],-0.2401660775,28,28
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.16,29,29
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[B-](F)(F)F,0.48,30,30
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.24,31,31
CCCCCCCCCCCCOS(=O)(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,2.4,32,32
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.28,33,33
CCCCCCCCCCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21,1.6,34,34
CCCCCCCCCCCOC[n+]1cccc(O)c1.[Cl-],1.6,35,35
CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.645,36,36
CCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.769377326,37,37
CCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1.498310554,38,38
CCCCCCCCCCn1cc[n+](C)c1.[Cl-],1.34,39,39
CCCCCCCCCCn1cc[n+](CC)c1.[Br-],0.53,40,40
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.128427064,41,41
CCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1.65,42,42
CCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1.854913022,43,43
CCCCCCCCCn1cc[n+](C)c1.[Cl-],1.399673721,44,44
CCCCCCCCOS(=O)(=O)[O-].CCCCCCCCn1cc[n+](C)c1,1.525044807,45,45
CCCCCCCCOS(=O)(=O)[O-].CCCCn1cc[n+](C)c1,3.225309282,46,46
CCCCCCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1.82,47,47
CCCCCCCC[N+]1(C)CCCC1.[Cl-],2.59,48,48
CCCCCCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1.49,49,49
CCCCCCCC[n+]1ccc(C)cc1.[Cl-],2.3,50,50
CCCCCCCC[n+]1cccc(C)c1.[Cl-],1.47,51,51
CCCCCCCC[n+]1cccc2ccccc21.F[B-](F)(F)F,0.17,52,52
CCCCCCCC[n+]1cccc2ccccc21.[Br-],-0.03,53,53
CCCCCCCC[n+]1ccccc1.[Cl-],1.27,54,54
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1.5905323035,55,55
CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1.96,56,56
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.64,57,57
CCCCCCCCn1cc[n+](C)c1.[Cl-],2.0064186125,58,58
CCCCCCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21,3.0,59,59
CCCCCCCOC[n+]1cccc(O)c1.[Cl-],3.0,60,60
CCCCCCC[NH+]1C=CN(C)C1.[Cl-],2.53,61,61
CCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,2.58,62,62
CCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,2.3,63,63
CCCCCCCn1cc[n+](C)c1.[Cl-],2.53,64,64
CCCCCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21,3.3,65,65
CCCCCC[N+]1(C)CCCC1.[Cl-],2.91,66,66
CCCCCC[N+]1(CCCCCC)CCCC1.F[B-](F)(F)F,1.23,67,67
CCCCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,2.17,68,68
CCCCCC[n+]1ccc(C)cc1.[Cl-],2.67,69,69
CCCCCC[n+]1ccc(N(C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.93,70,70
CCCCCC[n+]1ccc(N(C)C)cc1.[Cl-],0.93,71,71
CCCCCC[n+]1cccc(C)c1.[Cl-],2.4,72,72
CCCCCC[n+]1cccc2ccccc21.F[B-](F)(F)F,1.07,73,73
CCCCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F,2.51,74,74
CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.87,75,75
CCCCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,2.54,76,76
CCCCCC[n+]1ccccc1.[Cl-],2.8,77,77
CCCCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,1.9,78,78
CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,1.4,79,79
CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1.428134794,80,80
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,2.980003372,81,81
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,2.909020854,82,82
