Normalized SMILES,logEC50,RANDOM,IL
C/C=C/C(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,4.15,1,1
C/C=C/C(=O)[O-].c1cccc(c1)C[N+]1(CCOCC1)C,4.15,1,1
[O-]C(=O)/C=C/C.c1c(cccc1)C[N+]1(C)CCOCC1,4.15,1,1
O=C([O-])/C=C/C.c1(C[N+]2(C)CCOCC2)ccccc1,4.15,1,1
C(=C/C([O-])=O)\C.c1ccccc1C[N+]1(CCOCC1)C,4.15,1,1
C(\C)=C/C([O-])=O.[N+]1(CCOCC1)(Cc1ccccc1)C,4.15,1,1
C/C=C/C([O-])=O.C1[N+](C)(Cc2ccccc2)CCOC1,4.15,1,1
C(=C/C(=O)[O-])\C.C1COCC[N+]1(C)Cc1ccccc1,4.15,1,1
C(=C/C)\C(=O)[O-].c1(ccccc1)C[N+]1(C)CCOCC1,4.15,1,1
C1[N+](C)(CCOC1)Cc1ccccc1.O=C([O-])/C=C/C,4.15,1,1
CC(=O)CCn1cc[n+](C)c1.[Br-],3.78,2,2
[Br-].n1(c[n+](C)cc1)CCC(=O)C,3.78,2,2
O=C(CCn1cc[n+](c1)C)C.[Br-],3.78,2,2
C[n+]1ccn(CCC(=O)C)c1.[Br-],3.78,2,2
C(Cn1c[n+](cc1)C)C(=O)C.[Br-],3.78,2,2
C(=O)(CCn1cc[n+](C)c1)C.[Br-],3.78,2,2
[Br-].[n+]1(C)ccn(CCC(C)=O)c1,3.78,2,2
O=C(C)CCn1cc[n+](c1)C.[Br-],3.78,2,2
C[n+]1ccn(c1)CCC(C)=O.[Br-],3.78,2,2
[Br-].c1[n+](C)ccn1CCC(=O)C,3.78,2,2
CC(=O)OCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.91,3,3
FC(F)(C(F)([P-](C(F)(F)C(F)(F)F)(C(F)(C(F)(F)F)F)(F)(F)F)F)F.O=C(C)OCC[N+]1(CCCC1)C,2.91,3,3
C1CC[N+](CCOC(=O)C)(C)C1.[P-](F)(F)(C(F)(C(F)(F)F)F)(C(F)(C(F)(F)F)F)(C(F)(F)C(F)(F)F)F,2.91,3,3
C(F)(F)(C([P-](F)(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)(F)F)(F)F)F.C1[N+](C)(CCOC(=O)C)CCC1,2.91,3,3
C([N+]1(C)CCCC1)COC(=O)C.FC(F)(C(F)(F)[P-](F)(C(C(F)(F)F)(F)F)(F)(F)C(C(F)(F)F)(F)F)F,2.91,3,3
C[N+]1(CCOC(=O)C)CCCC1.FC(F)(C([P-](C(F)(C(F)(F)F)F)(F)(F)(F)C(F)(F)C(F)(F)F)(F)F)F,2.91,3,3
