,Normalized SMILES,T/K,P,Mole,Index,P/bar,ln(x_CO2)
0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,323.2,14110,0.9516,126,141.1,0.9516
1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,318.2,13130,0.9516,126,131.3,0.9516
2,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,313.2,11790,0.9516,126,117.9,0.9516
3,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,308.2,10750,0.9516,126,107.5,0.9516
4,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,303.2,9760,0.9516,126,97.6,0.9516
5,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,20240,0.907,47,202.4,0.907
6,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,20240,0.907,47,202.4,0.907
7,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,20240,0.907,47,202.4,0.907
8,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,15240,0.906,47,152.4,0.906
9,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,15240,0.906,47,152.4,0.906
10,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,15240,0.906,47,152.4,0.906
11,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,323.2,11200,0.9008,126,112,0.9008
12,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,318.2,10790,0.9008,126,107.9,0.9008
13,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,313.2,10100,0.9008,126,101,0.9008
14,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,308.2,9540,0.9008,126,95.4,0.9008
15,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,303.2,8990,0.9008,126,89.9,0.9008
16,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,298.2,8520,0.9008,126,85.2,0.9008
17,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,318.2,8287,0.9,124,82.87,0.9
18,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,313.2,8115,0.9,124,81.15,0.9
19,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,308.2,7962,0.9,124,79.62,0.9
20,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,303.2,7800,0.9,124,78,0.9
21,CC[N+](C)(CCO)CCO.[Cl-],313.15,4420,0.8924,35,44.2,0.8924
22,CC[N+](C)(CCO)CCO.[Cl-],313.15,4180,0.8814,35,41.8,0.8814
23,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.2,20560,0.879,47,205.6,0.879
24,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,20370,0.879,106,203.7,0.879
25,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.2,20560,0.879,47,205.6,0.879
26,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.2,20560,0.879,47,205.6,0.879
27,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,303.08,49350,0.879,48,493.5,0.879
28,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.35,39536,0.879,48,395.36,0.879
29,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,361.67,37445,0.879,48,374.45,0.879
30,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.06,36563,0.879,48,365.63,0.879
31,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.35,36280,0.879,48,362.8,0.879
32,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,343.23,35732,0.879,48,357.32,0.879
33,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.38,35408,0.879,48,354.08,0.879
34,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,20370,0.879,106,203.7,0.879
35,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,20130,0.878,78,201.3,0.878
36,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,20130,0.878,45,201.3,0.878
37,CC[N+](C)(CCO)CCO.[Cl-],318.15,4560,0.8755,35,45.6,0.8755
38,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,15260,0.871,106,152.6,0.871
39,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,15260,0.871,106,152.6,0.871
40,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,14960,0.87,78,149.6,0.87
41,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,313.15,31000,0.87,27,310,0.87
42,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,313.15,31000,0.87,27,310,0.87
43,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,293.26,44564,0.87,48,445.64,0.87
44,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,302.95,34630,0.87,48,346.3,0.87
45,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,363.35,33815,0.87,48,338.15,0.87
46,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.25,32463,0.87,48,324.63,0.87
47,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,343.12,31183,0.87,48,311.83,0.87
48,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.1,30585,0.87,48,305.85,0.87
49,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.2,30253,0.87,48,302.53,0.87
50,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.24,29743,0.87,48,297.43,0.87
51,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.15,14948,0.87,15,149.48,0.87
52,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,14960,0.87,45,149.6,0.87
53,CC[N+](C)(CCO)CCO.[Cl-],318.15,4340,0.8647,35,43.4,0.8647
54,CC[N+](C)(CCO)CCO.[Cl-],313.15,3810,0.8645,35,38.1,0.8645
55,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.2,15190,0.864,47,151.9,0.864
56,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.2,15190,0.864,47,151.9,0.864
57,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.2,15190,0.864,47,151.9,0.864
58,CC[N+](C)(CCO)CCO.[Cl-],323.15,4550,0.861,35,45.5,0.861
59,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,313.15,24000,0.86,27,240,0.86
60,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,313.15,27000,0.86,27,270,0.86
61,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,313.15,24000,0.86,27,240,0.86
62,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,313.15,28000,0.86,27,280,0.86
63,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,363.28,30227,0.86,48,302.27,0.86
64,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.26,28426,0.86,48,284.26,0.86
65,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,343.19,26972,0.86,48,269.72,0.86
66,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,293.3,26885,0.86,48,268.85,0.86
67,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.19,25423,0.86,48,254.23,0.86
68,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,303.02,24711,0.86,48,247.11,0.86
69,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.34,24304,0.86,48,243.04,0.86
70,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.18,23840,0.86,48,238.4,0.86
71,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,1730,0.858,2,17.3,0.858
72,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,14400,0.857,45,144,0.857
73,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,13200,0.856,45,132,0.856
74,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.2,19630,0.854,106,196.3,0.854
75,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.2,19630,0.854,106,196.3,0.854
76,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.2,20380,0.853,14,203.8,0.853
77,C[NH+]1C=CN(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.22,9230,0.853,25,92.3,0.853
78,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.22,9230,0.853,145,92.3,0.853
79,CCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,47600,0.853,146,476,0.853
80,CCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,303.15,43430,0.853,146,434.3,0.853
81,CCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,47600,0.853,146,476,0.853
