IL SMILES,x_CO2,T/K,P/bar,Normalized SMILES,RANDOM,IL,ln(x_CO2)
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.655,298.16,36.2,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,1,-0.423120043
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.548,298.16,22.1,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,1,-0.601479992
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.455,298.16,13.1,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3,1,-0.78745786
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.351,298.16,13,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4,1,-1.046969056
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.351,298.16,13,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,5,1,-1.046969056
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.232,333.05,13,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,6,1,-1.461017907
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.232,333.05,13,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7,1,-1.461017907
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.332,298.16,12,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8,1,-1.10262031
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.214,333.05,12,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9,1,-1.541779264
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.203,333.05,11,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,10,1,-1.5945493
