IL,IL SMILES,T/K,d_kg m-3,P/bar,Normalized SMILES,RANDOM
1,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,293.15,1422.6,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
1,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,298.15,1417.9,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2
1,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,303.15,1413.4,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3
1,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,313.15,1404.2,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4
1,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,323.15,1395.2,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,5
1,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,333.15,1386.3,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,6
1,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,343.15,1377.5,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
1,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,353.15,1368.6,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
1,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,363.15,1359.8,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9
2,COCC[N+]1(C)CCCCCC1.[O-]S(=O)(=O)C(F)(F)F,293.1,1295.2,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([O-])C(F)(F)F,10
2,COCC[N+]1(C)CCCCCC1.[O-]S(=O)(=O)C(F)(F)F,298.1,1291.6,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([O-])C(F)(F)F,11
2,COCC[N+]1(C)CCCCCC1.[O-]S(=O)(=O)C(F)(F)F,303.1,1287.9,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([O-])C(F)(F)F,12
2,COCC[N+]1(C)CCCCCC1.[O-]S(=O)(=O)C(F)(F)F,313.1,1280.5,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([O-])C(F)(F)F,13
2,COCC[N+]1(C)CCCCCC1.[O-]S(=O)(=O)C(F)(F)F,323.1,1273.1,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([O-])C(F)(F)F,14
2,COCC[N+]1(C)CCCCCC1.[O-]S(=O)(=O)C(F)(F)F,333.1,1265.8,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([O-])C(F)(F)F,15
2,COCC[N+]1(C)CCCCCC1.[O-]S(=O)(=O)C(F)(F)F,343.1,1258.5,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([O-])C(F)(F)F,16
2,COCC[N+]1(C)CCCCCC1.[O-]S(=O)(=O)C(F)(F)F,353.1,1251.3,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([O-])C(F)(F)F,17
2,COCC[N+]1(C)CCCCCC1.[O-]S(=O)(=O)C(F)(F)F,363.1,1244.2,1,COCC[N+]1(C)CCCCCC1.O=S(=O)([O-])C(F)(F)F,18
3,COCC[N+]1(C)CCCCCC1.[O-]C(=O)C(F)(F)F,293.1,1221.4,1,COCC[N+]1(C)CCCCCC1.O=C([O-])C(F)(F)F,19
3,COCC[N+]1(C)CCCCCC1.[O-]C(=O)C(F)(F)F,298.1,1217.9,1,COCC[N+]1(C)CCCCCC1.O=C([O-])C(F)(F)F,20
3,COCC[N+]1(C)CCCCCC1.[O-]C(=O)C(F)(F)F,303.1,1214.3,1,COCC[N+]1(C)CCCCCC1.O=C([O-])C(F)(F)F,21
3,COCC[N+]1(C)CCCCCC1.[O-]C(=O)C(F)(F)F,313.1,1207.2,1,COCC[N+]1(C)CCCCCC1.O=C([O-])C(F)(F)F,22
3,COCC[N+]1(C)CCCCCC1.[O-]C(=O)C(F)(F)F,323.1,1200.0,1,COCC[N+]1(C)CCCCCC1.O=C([O-])C(F)(F)F,23
3,COCC[N+]1(C)CCCCCC1.[O-]C(=O)C(F)(F)F,333.1,1193.0,1,COCC[N+]1(C)CCCCCC1.O=C([O-])C(F)(F)F,24
3,COCC[N+]1(C)CCCCCC1.[O-]C(=O)C(F)(F)F,343.1,1186.0,1,COCC[N+]1(C)CCCCCC1.O=C([O-])C(F)(F)F,25
3,COCC[N+]1(C)CCCCCC1.[O-]C(=O)C(F)(F)F,353.1,1179.1,1,COCC[N+]1(C)CCCCCC1.O=C([O-])C(F)(F)F,26
3,COCC[N+]1(C)CCCCCC1.[O-]C(=O)C(F)(F)F,363.1,1172.2,1,COCC[N+]1(C)CCCCCC1.O=C([O-])C(F)(F)F,27
4,COCC[N+]1(CCOC)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,293.15,1343.8,1,COCC[N+]1(CCOC)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,28
4,COCC[N+]1(CCOC)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,298.15,1339.3,1,COCC[N+]1(CCOC)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,29
4,COCC[N+]1(CCOC)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,303.15,1334.9,1,COCC[N+]1(CCOC)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30
4,COCC[N+]1(CCOC)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,313.15,1325.8,1,COCC[N+]1(CCOC)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,31
4,COCC[N+]1(CCOC)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,323.15,1317.0,1,COCC[N+]1(CCOC)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,32
4,COCC[N+]1(CCOC)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,333.15,1307.5,1,COCC[N+]1(CCOC)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,33
4,COCC[N+]1(CCOC)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,343.15,1298.6,1,COCC[N+]1(CCOC)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,34
4,COCC[N+]1(CCOC)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,353.15,1289.6,1,COCC[N+]1(CCOC)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,35
4,COCC[N+]1(CCOC)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,363.15,1280.5,1,COCC[N+]1(CCOC)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,36
5,CCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,293.15,1377.3,1,CCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,37
5,CCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,298.15,1372.9,1,CCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,38
5,CCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,303.15,1368.5,1,CCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,39
5,CCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,313.15,1359.7,1,CCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,40
5,CCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,323.15,1351.0,1,CCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,41
5,CCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,333.15,1342.5,1,CCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,42
5,CCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,343.15,1334.1,1,CCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,43
5,CCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,353.15,1325.7,1,CCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,44
5,CCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,363.15,1317.3,1,CCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,45
6,CCCCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,303.1,1310.9,1,CCCCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,46
6,CCCCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,313.1,1302.6,1,CCCCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,47
6,CCCCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,323.1,1294.3,1,CCCCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,48
6,CCCCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,333.1,1286.1,1,CCCCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,49
6,CCCCCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,343.1,1278.0,1,CCCCCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,50
