T/K,Exp(S/m),COSMO(S/m),lnEC,smiles,Normalized SMILES,RANDOM,IL,Normalized SMILES1
273.15,0.0156,0.058410028,-4.160484365,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,1,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
283.15,0.0381,0.105603751,-3.267540997,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,2,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
288.15,0.094,0.138714434,-2.364460497,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,3,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
293.15,0.136,0.180478686,-1.995100393,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,4,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
298.15,0.189,0.229340795,-1.666008264,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,5,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
303.15,0.259,0.285343348,-1.350927217,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,6,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
308.15,0.347,0.352688131,-1.058430499,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,7,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
313.15,0.449,0.432960797,-0.800732391,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,8,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
318.15,0.568,0.519242587,-0.56563386,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,9,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
323.15,0.711,0.619512071,-0.341082849,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,10,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
328.15,0.868,0.731626535,-0.141563564,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,11,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
333.15,1.049,0.859733267,0.047837329,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,12,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
338.15,1.248,0.992198498,0.22154227,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,13,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
343.15,1.475,1.140744258,0.38865799,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,14,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
348.15,1.732,1.301315801,0.54927681,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,15,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
353.15,1.988,1.478999591,0.687129108,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,16,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
273.15,0.0662,0.07890006,-2.715074816,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,17,2,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
283.15,0.127,0.134628386,-2.063568193,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,18,2,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
