T/K,Exp(S/m),COSMO(S/m),lnEC,smiles,Normalized SMILES,RANDOM,IL,Normalized SMILES1
273.15,0.0156,0.058410028,-4.160484365,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,1,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
273.15,0.0156,0.058410028,-4.160484365,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.[N+](CCOC)(CC)(C)CC,1,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
273.15,0.0156,0.058410028,-4.160484365,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](C)(CCOC)CC)C.F[B-](F)(F)F,1,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
273.15,0.0156,0.058410028,-4.160484365,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.[N+](C)(CC)(CC)CCOC,1,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
273.15,0.0156,0.058410028,-4.160484365,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](C)(CCOC)CC)C.F[B-](F)(F)F,1,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
273.15,0.0156,0.058410028,-4.160484365,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](CC)(C)CC)COC.F[B-](F)(F)F,1,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
273.15,0.0156,0.058410028,-4.160484365,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.[N+](C)(CCOC)(CC)CC,1,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
273.15,0.0156,0.058410028,-4.160484365,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C[N+](CCOC)(CC)CC.F[B-](F)(F)F,1,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
273.15,0.0156,0.058410028,-4.160484365,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(COC)[N+](CC)(CC)C.F[B-](F)(F)F,1,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
273.15,0.0156,0.058410028,-4.160484365,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](CCOC)(C)CC)C.F[B-](F)(F)F,1,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
283.15,0.0381,0.105603751,-3.267540997,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,2,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
283.15,0.0381,0.105603751,-3.267540997,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](CC)(C)CCOC)C.F[B-](F)(F)F,2,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
283.15,0.0381,0.105603751,-3.267540997,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.O(C)CC[N+](CC)(CC)C,2,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
283.15,0.0381,0.105603751,-3.267540997,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.O(CC[N+](CC)(C)CC)C,2,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
283.15,0.0381,0.105603751,-3.267540997,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.O(C)CC[N+](CC)(CC)C,2,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
283.15,0.0381,0.105603751,-3.267540997,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CCOC)CC.F[B-](F)(F)F,2,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
283.15,0.0381,0.105603751,-3.267540997,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C[N+](CC)(CCOC)CC.F[B-](F)(F)F,2,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
283.15,0.0381,0.105603751,-3.267540997,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CCOC)CC.F[B-](F)(F)F,2,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
283.15,0.0381,0.105603751,-3.267540997,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](CC)(C)CCOC)C.F[B-](F)(F)F,2,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
283.15,0.0381,0.105603751,-3.267540997,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](CC)(CC)C)COC.F[B-](F)(F)F,2,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
288.15,0.094,0.138714434,-2.364460497,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,3,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
288.15,0.094,0.138714434,-2.364460497,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C[N+](CC)(CC)CCOC.F[B-](F)(F)F,3,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
288.15,0.094,0.138714434,-2.364460497,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(C[N+](CC)(CC)C)OC.F[B-](F)(F)F,3,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
288.15,0.094,0.138714434,-2.364460497,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](C)(CCOC)CC)C.F[B-](F)(F)F,3,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
288.15,0.094,0.138714434,-2.364460497,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.O(CC[N+](CC)(C)CC)C,3,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
288.15,0.094,0.138714434,-2.364460497,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](CCOC)(CC)C)C.F[B-](F)(F)F,3,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
288.15,0.094,0.138714434,-2.364460497,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C[N+](CC)(CCOC)CC.F[B-](F)(F)F,3,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
288.15,0.094,0.138714434,-2.364460497,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C[N+](CC)(CC)CCOC.[B-](F)(F)(F)F,3,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
288.15,0.094,0.138714434,-2.364460497,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](CC)(CCOC)C.F[B-](F)(F)F,3,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
288.15,0.094,0.138714434,-2.364460497,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](CC)(C)CC)COC.F[B-](F)(F)F,3,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
293.15,0.136,0.180478686,-1.995100393,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,4,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
293.15,0.136,0.180478686,-1.995100393,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(C)[N+](CCOC)(C)CC.F[B-](F)(F)F,4,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
293.15,0.136,0.180478686,-1.995100393,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](CC)(CCOC)C.[B-](F)(F)(F)F,4,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
293.15,0.136,0.180478686,-1.995100393,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(OC)C[N+](CC)(CC)C.[B-](F)(F)(F)F,4,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
293.15,0.136,0.180478686,-1.995100393,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(OC)C[N+](CC)(C)CC.F[B-](F)(F)F,4,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
293.15,0.136,0.180478686,-1.995100393,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,4,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
293.15,0.136,0.180478686,-1.995100393,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C[N+](CC)(CC)CCOC.F[B-](F)(F)F,4,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
293.15,0.136,0.180478686,-1.995100393,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.[N+](CCOC)(C)(CC)CC,4,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
293.15,0.136,0.180478686,-1.995100393,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(C)[N+](C)(CCOC)CC.F[B-](F)(F)F,4,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
293.15,0.136,0.180478686,-1.995100393,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.O(C)CC[N+](CC)(C)CC,4,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
298.15,0.189,0.229340795,-1.666008264,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,5,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
298.15,0.189,0.229340795,-1.666008264,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.O(C)CC[N+](C)(CC)CC,5,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
298.15,0.189,0.229340795,-1.666008264,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(C[N+](CC)(CC)C)OC.F[B-](F)(F)F,5,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
298.15,0.189,0.229340795,-1.666008264,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](CC)(C)CCOC.F[B-](F)(F)F,5,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
298.15,0.189,0.229340795,-1.666008264,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,COCC[N+](CC)(CC)C.[B-](F)(F)(F)F,5,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
298.15,0.189,0.229340795,-1.666008264,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](CCOC)(CC)C.F[B-](F)(F)F,5,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
298.15,0.189,0.229340795,-1.666008264,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.O(C)CC[N+](CC)(CC)C,5,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
298.15,0.189,0.229340795,-1.666008264,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(C)[N+](CCOC)(CC)C.F[B-](F)(F)F,5,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
298.15,0.189,0.229340795,-1.666008264,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](CC)(C)CCOC.F[B-](F)(F)F,5,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
298.15,0.189,0.229340795,-1.666008264,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](C)(CCOC)CC)C.F[B-](F)(F)F,5,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
303.15,0.259,0.285343348,-1.350927217,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,6,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
303.15,0.259,0.285343348,-1.350927217,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,COCC[N+](CC)(C)CC.F[B-](F)(F)F,6,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
303.15,0.259,0.285343348,-1.350927217,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](CCOC)(CC)C.[B-](F)(F)(F)F,6,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
303.15,0.259,0.285343348,-1.350927217,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,O(CC[N+](CC)(CC)C)C.[B-](F)(F)(F)F,6,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
303.15,0.259,0.285343348,-1.350927217,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(OC)C[N+](CC)(C)CC.F[B-](F)(F)F,6,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
303.15,0.259,0.285343348,-1.350927217,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(C)[N+](CCOC)(CC)C.F[B-](F)(F)F,6,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
303.15,0.259,0.285343348,-1.350927217,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.O(C)CC[N+](C)(CC)CC,6,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
303.15,0.259,0.285343348,-1.350927217,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(OC)C[N+](C)(CC)CC.F[B-](F)(F)F,6,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
303.15,0.259,0.285343348,-1.350927217,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C[N+](CCOC)(CC)CC.F[B-](F)(F)F,6,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
303.15,0.259,0.285343348,-1.350927217,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CCOC)CC.F[B-](F)(F)F,6,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
308.15,0.347,0.352688131,-1.058430499,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,7,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
308.15,0.347,0.352688131,-1.058430499,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](C)(CCOC)CC)C.F[B-](F)(F)F,7,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
308.15,0.347,0.352688131,-1.058430499,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](C)(CC)CC)COC.F[B-](F)(F)F,7,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
308.15,0.347,0.352688131,-1.058430499,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CCOC)CC.F[B-](F)(F)F,7,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
308.15,0.347,0.352688131,-1.058430499,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C([N+](C)(CCOC)CC)C.F[B-](F)(F)F,7,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
308.15,0.347,0.352688131,-1.058430499,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,O(C)CC[N+](CC)(C)CC.[B-](F)(F)(F)F,7,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
308.15,0.347,0.352688131,-1.058430499,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(COC)[N+](C)(CC)CC.F[B-](F)(F)F,7,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
308.15,0.347,0.352688131,-1.058430499,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,F[B-](F)(F)F.O(CC[N+](CC)(C)CC)C,7,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
308.15,0.347,0.352688131,-1.058430499,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(C[N+](CC)(CC)C)OC.[B-](F)(F)(F)F,7,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
308.15,0.347,0.352688131,-1.058430499,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C[N+](CC)(CCOC)CC.F[B-](F)(F)F,7,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
313.15,0.449,0.432960797,-0.800732391,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,8,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
313.15,0.449,0.432960797,-0.800732391,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,C(COC)[N+](CC)(CC)C.F[B-](F)(F)F,8,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
313.15,0.449,0.432960797,-0.800732391,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](CCOC)(C)CC.F[B-](F)(F)F,8,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
313.15,0.449,0.432960797,-0.800732391,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,COCC[N+](CC)(CC)C.F[B-](F)(F)F,8,1,CC[N+](C)(CC)CCOC.F[B-](F)(F)F
