Tg/K,Normalized SMILES,IL
223,C1CC[NH2+]C1.F[B-](F)(F)F,1
205,C1CC[NH2+]C1.O=S(=O)([O-])C(F)(F)F,2
261,C1CC[NH2+]C1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3
199,C1CC[NH2+]C1.O=S(=O)([O-])C(F)(F)C(F)(F)OC(F)(F)C(F)F,4
252,Cc1n(Cn2cccn2)cc[n+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,5
241,CCC[n+]1ccn(Cn2cccn2)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,6
229,CCCC[n+]1ccn(Cn2cccn2)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
223,CCCCCC[n+]1ccn(Cn2cccn2)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8
245,CCCC[n+]1ccn(Cn2cccn2)c1C.F[P-](F)(F)(F)(F)F,9
241,CCCCCC[n+]1ccn(Cn2cccn2)c1C.F[P-](F)(F)(F)(F)F,10
239,CCCC[n+]1ccn(Cn2nc(C)cc2C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,11
235,CCCCCC[n+]1ccn(Cn2nc(C)cc2C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,12
260,CCCC[n+]1ccn(Cn2nc(C)cc2C)c1C.F[P-](F)(F)(F)(F)F,13
248,CCCCCC[n+]1ccn(Cn2nc(C)cc2C)c1C.F[P-](F)(F)(F)(F)F,14
187,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
192,CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,16
200,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,17
197,CCCCCCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,18
203,CCCCCCCC[N+]1(C)CCCCC1.N#C[N-]C#N,19
234,CCCCn1cc(C[n+]2ccn(C)c2)nn1.F[P-](F)(F)(F)(F)F,20
220,CCCCn1cc(C[n+]2ccn(C)c2C)nn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,21
214,CCCCn1cc(C[n+]2ccn(C)c2)nn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,22
243,Cc1n(C)cc[n+]1Cc1cn(Cc2ccccc2)nn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,23
233,CCCCn1cc[n+](Cc2cn(Cc3ccccc3)nn2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,24
230,CCCCn1cc[n+](Cc2cn(-c3ccccc3)nn2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,25
