Tg/K,IL,Normalized SMILES
223,1,C1[NH2+]CCC1.F[B-](F)(F)F
223,1,C1C[NH2+]CC1.F[B-](F)(F)F
223,1,C1[NH2+]CCC1.F[B-](F)(F)F
223,1,C1C[NH2+]CC1.F[B-](F)(F)F
223,1,F[B-](F)(F)F.[NH2+]1CCCC1
223,1,F[B-](F)(F)F.[NH2+]1CCCC1
223,1,C1CC[NH2+]C1.F[B-](F)(F)F
223,1,C1CCC[NH2+]1.[B-](F)(F)(F)F
223,1,F[B-](F)(F)F.[NH2+]1CCCC1
223,1,C1CC[NH2+]C1.F[B-](F)(F)F
205,2,C1C[NH2+]CC1.FC(F)(F)S(=O)([O-])=O
205,2,C1C[NH2+]CC1.O=S(C(F)(F)F)(=O)[O-]
205,2,C1C[NH2+]CC1.FC(F)(S(=O)([O-])=O)F
205,2,C1CC[NH2+]C1.FC(F)(F)S(=O)([O-])=O
205,2,C(F)(F)(S(=O)(=O)[O-])F.[NH2+]1CCCC1
205,2,C1[NH2+]CCC1.O=S(=O)(C(F)(F)F)[O-]
205,2,O=S([O-])(C(F)(F)F)=O.[NH2+]1CCCC1
205,2,C1CCC[NH2+]1.S([O-])(C(F)(F)F)(=O)=O
205,2,C1CC[NH2+]C1.FC(S([O-])(=O)=O)(F)F
205,2,C1[NH2+]CCC1.FC(F)(S(=O)([O-])=O)F
261,3,C1CC[NH2+]C1.O=S([O-])(C(F)(F)C(F)(F)C(C(F)(F)F)(F)F)=O
261,3,O=S([O-])(=O)C(F)(C(C(C(F)(F)F)(F)F)(F)F)F.[NH2+]1CCCC1
261,3,C1C[NH2+]CC1.FC(F)(C(C(F)(F)F)(F)F)C(S([O-])(=O)=O)(F)F
261,3,C1CCC[NH2+]1.[O-]S(=O)(C(C(F)(C(F)(F)C(F)(F)F)F)(F)F)=O
261,3,C1[NH2+]CCC1.FC(F)(C(F)(C(C(S(=O)(=O)[O-])(F)F)(F)F)F)F
261,3,[NH2+]1CCCC1.[O-]S(=O)(=O)C(F)(C(C(F)(C(F)(F)F)F)(F)F)F
261,3,C1[NH2+]CCC1.FC(F)(C(C(F)(F)F)(F)F)C(S([O-])(=O)=O)(F)F
261,3,C1C[NH2+]CC1.FC(F)(F)C(F)(C(F)(C(F)(F)S([O-])(=O)=O)F)F
261,3,C(S(=O)(=O)[O-])(F)(F)C(C(F)(C(F)(F)F)F)(F)F.C1CCC[NH2+]1
261,3,C1[NH2+]CCC1.O=S(C(C(F)(F)C(C(F)(F)F)(F)F)(F)F)([O-])=O
199,4,C1CCC[NH2+]1.S(=O)(=O)(C(F)(C(OC(F)(C(F)F)F)(F)F)F)[O-]
199,4,FC(C(F)(F)OC(F)(C(F)(F)S(=O)([O-])=O)F)F.[NH2+]1CCCC1
199,4,C1CCC[NH2+]1.[O-]S(=O)(C(F)(F)C(F)(F)OC(C(F)F)(F)F)=O
199,4,C1CCC[NH2+]1.O=S(C(F)(C(F)(OC(F)(F)C(F)F)F)F)(=O)[O-]
199,4,C1CC[NH2+]C1.O=S([O-])(=O)C(F)(C(OC(F)(C(F)F)F)(F)F)F
199,4,C1CC[NH2+]C1.S(C(F)(F)C(OC(C(F)F)(F)F)(F)F)([O-])(=O)=O
199,4,C1[NH2+]CCC1.FC(F)(OC(F)(F)C(F)F)C(S(=O)(=O)[O-])(F)F
199,4,C(F)(C(S(=O)(=O)[O-])(F)F)(OC(C(F)F)(F)F)F.C1CC[NH2+]C1
199,4,C(F)(F)(C(F)(F)S([O-])(=O)=O)OC(C(F)F)(F)F.C1CC[NH2+]C1
199,4,C1C[NH2+]CC1.FC(C(S([O-])(=O)=O)(F)F)(F)OC(C(F)F)(F)F
252,5,C(F)(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F.c1cn(Cn2cccn2)c(C)[n+]1C
252,5,O=S(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F.[n+]1(C)c(C)n(cc1)Cn1nccc1
252,5,O=S(=O)(C(F)(F)F)[N-]S(=O)(=O)C(F)(F)F.c1n(Cn2nccc2)c([n+](C)c1)C
252,5,C[n+]1c(n(Cn2nccc2)cc1)C.[N-](S(=O)(C(F)(F)F)=O)S(C(F)(F)F)(=O)=O
252,5,C(n1c(C)[n+](cc1)C)n1cccn1.O=S(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F
252,5,C(F)(F)(F)S([N-]S(=O)(=O)C(F)(F)F)(=O)=O.c1cn(c(C)[n+]1C)Cn1cccn1
252,5,C(n1cc[n+](C)c1C)n1cccn1.FC(F)(F)S(=O)([N-]S(=O)(C(F)(F)F)=O)=O
252,5,FC(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)F.n1n(ccc1)Cn1c([n+](cc1)C)C
252,5,[N-](S(=O)(=O)C(F)(F)F)S(C(F)(F)F)(=O)=O.n1(Cn2cc[n+](C)c2C)cccn1
252,5,C(n1cc[n+](c1C)C)n1cccn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
