T/K,lnhc,IL,Normalized SMILES,RANDOM,hc
300.05,6.014204034,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1,409.2
300.17,6.015669236,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,2,409.8000001
300.3,6.016401032,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,3,410.0999998
300.43,6.016401032,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,4,410.0999998
300.55,6.017132294,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,5,410.4000001
300.81,6.017132294,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,6,410.4000001
300.94,6.017132294,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,7,410.4000001
301.07,6.017619505,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,8,410.6000002
301.19,6.018349876,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,9,410.9
301.32,6.018349876,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,10,410.9
301.45,6.019079714,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,11,411.1999999
301.57,6.018349876,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,12,410.9
301.7,6.01980902,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,13,411.5
301.83,6.01980902,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,14,411.5
301.95,6.01980902,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,15,411.5
302.08,6.020537795,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,16,411.8000002
302.35,6.021266038,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,17,412.0999999
302.48,6.021266038,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,18,412.0999999
302.61,6.021266038,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,19,412.0999999
302.73,6.02175124,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,20,412.3000001
302.86,6.02175124,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,21,412.3000001
302.99,6.02175124,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,22,412.3000001
303.12,6.02175124,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,23,412.3000001
303.24,6.023205433,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,24,412.9
303.37,6.023205433,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,25,412.9
303.63,6.023931737,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,26,413.1999999
303.75,6.023931737,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,27,413.1999999
303.89,6.023931737,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,28,413.1999999
304.02,6.023931737,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,29,413.1999999
304.15,6.023931737,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,30,413.1999999
304.27,6.023931737,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,31,413.1999999
304.4,6.024657514,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,32,413.4999998
304.53,6.024657514,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,33,413.4999998
304.66,6.025382765,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,34,413.7999999
304.78,6.026107491,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,35,414.1000002
304.91,6.026107491,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,36,414.1000002
305.19,6.026590349,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,37,414.3
305.31,6.026590349,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,38,414.3
305.44,6.026590349,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,39,414.3
305.57,6.0273142,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,40,414.6
305.7,6.028037527,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,41,414.8999999
305.82,6.0273142,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,42,414.6
305.95,6.028037527,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,43,414.8999999
306.08,6.028760332,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,44,415.2000001
306.2,6.028760332,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,45,415.2000001
306.46,6.028760332,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,46,415.2000001
306.59,6.028760332,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,47,415.2000001
306.72,6.029482614,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,48,415.4999999
306.84,6.029482614,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,49,415.4999999
306.97,6.029482614,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,50,415.4999999
307.1,6.030204375,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,51,415.7999998
307.22,6.030204375,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,52,415.7999998
307.35,6.031406154,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,53,416.2999999
307.48,6.030204375,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,54,415.7999998
307.61,6.03068526,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,55,415.9999999
307.73,6.03068526,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,56,415.9999999
308.01,6.03068526,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,57,415.9999999
308.13,6.032126529,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,58,416.6000001
308.26,6.031406154,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,59,416.2999999
308.39,6.032126529,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,60,416.6000001
308.51,6.032126529,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,61,416.6000001
308.64,6.032846385,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,62,416.9
308.77,6.032126529,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,63,416.6000001
308.89,6.032126529,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,64,416.6000001
309.02,6.032846385,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,65,416.9
309.28,6.032846385,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,66,416.9
309.41,6.033565723,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,67,417.1999999
309.53,6.034284544,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,68,417.4999999
309.66,6.034284544,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,69,417.4999999
309.8,6.034284544,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,70,417.4999999
309.93,6.034284544,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,71,417.4999999
310.05,6.034284544,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,72,417.4999999
310.18,6.034284544,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,73,417.4999999
310.31,6.034763472,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,74,417.7000002
310.44,6.034763472,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,75,417.7000002
310.56,6.035481433,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,76,418.0000002
310.84,6.036198878,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,77,418.2999998
310.97,6.036198878,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,78,418.2999998
311.09,6.036198878,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,79,418.2999998
311.22,6.036198878,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,80,418.2999998
311.35,6.03691581,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,81,418.6
311.47,6.036198878,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,82,418.2999998
311.6,6.03691581,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,83,418.6
311.73,6.03691581,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,84,418.6
311.86,6.036198878,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,85,418.2999998
312.11,6.03691581,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,86,418.6
312.24,6.03691581,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,87,418.6
312.37,6.037632228,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,88,418.9
312.49,6.037632228,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,89,418.9
312.62,6.038348133,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,90,419.2
312.75,6.038348133,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,91,419.2
312.87,6.039063526,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,92,419.5
313,6.039063526,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,93,419.5
313.13,6.039063526,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,94,419.5
313.25,6.039063526,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,95,419.5
313.38,6.03954017,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,96,419.6999999
313.65,6.040254711,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,97,419.9999999
313.78,6.040254711,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,98,419.9999999
313.91,6.040254711,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,99,419.9999999
314.04,6.040254711,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,100,419.9999999
314.16,6.040254711,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,101,419.9999999
314.29,6.040254711,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,102,419.9999999
314.42,6.040968742,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,103,420.3
314.54,6.041682263,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,104,420.5999999
314.67,6.041682263,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,105,420.5999999
314.93,6.041682263,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,106,420.5999999
315.05,6.041682263,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,107,420.5999999
315.18,6.042395276,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,108,420.9000001
315.31,6.042395276,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,109,420.9000001
315.43,6.042395276,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,110,420.9000001
315.56,6.042395276,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,111,420.9000001
315.7,6.042395276,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,112,420.9000001
315.82,6.042395276,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,113,420.9000001
315.95,6.04310778,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,114,421.1999999
316.08,6.042395276,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,115,420.9000001
316.2,6.04310778,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,116,421.1999999
316.48,6.04310778,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,117,421.1999999
316.6,6.043582501,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,118,421.3999998
316.73,6.044294161,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,119,421.7000001
316.86,6.044294161,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,120,421.7000001
316.98,6.044294161,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,121,421.7000001
317.11,6.044294161,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,122,421.7000001
317.24,6.044294161,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,123,421.7000001
317.36,6.044294161,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,124,421.7000001
317.49,6.043582501,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,125,421.3999998
317.75,6.045005314,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,126,422
317.88,6.045005314,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,127,422
318,6.045715962,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,128,422.3
318.13,6.045715962,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,129,422.3
318.26,6.046426105,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,130,422.5999999
318.38,6.046426105,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,131,422.5999999
318.51,6.046426105,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,132,422.5999999
318.64,6.046426105,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,133,422.5999999
318.76,6.047135744,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,134,422.8999998
318.89,6.046426105,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,135,422.5999999
319.02,6.047608558,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,136,423.1000001
319.29,6.047135744,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,137,422.8999998
319.42,6.047135744,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,138,422.8999998
319.54,6.047135744,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,139,422.8999998
319.67,6.047135744,1,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,140,422.8999998
