MP_K,IL,Normalized SMILES,,RANDOM
345,1,Cn1cc[nH+]c1.[Cl-],,1
345,1,Cn1cc[nH+]c1.[Cl-],,1
345,1,Cn1c[nH+]cc1.[Cl-],,1
345,1,[Cl-].[nH+]1cn(C)cc1,,1
345,1,[Cl-].c1[nH+]ccn1C,,1
345,1,Cn1cc[nH+]c1.[Cl-],,1
345,1,[Cl-].c1[nH+]cn(C)c1,,1
345,1,[Cl-].[nH+]1ccn(C)c1,,1
345,1,[Cl-].c1[nH+]cn(c1)C,,1
345,1,[Cl-].[nH+]1ccn(c1)C,,1
314,2,Cn1cc[nH+]c1.[Br-],,2
314,2,[Br-].n1(cc[nH+]c1)C,,2
314,2,Cn1c[nH+]cc1.[Br-],,2
314,2,[Br-].[nH+]1cn(cc1)C,,2
314,2,[Br-].n1(C)cc[nH+]c1,,2
314,2,[Br-].[nH+]1cn(cc1)C,,2
314,2,Cn1c[nH+]cc1.[Br-],,2
314,2,Cn1cc[nH+]c1.[Br-],,2
314,2,[Br-].c1c[nH+]cn1C,,2
314,2,[Br-].c1c[nH+]cn1C,,2
430,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],,3
430,3,[O-][Cl+3]([O-])([O-])[O-].n1(cc[nH+]c1)C,,3
430,3,[O-][Cl+3]([O-])([O-])[O-].c1cn(c[nH+]1)C,,3
430,3,[O-][Cl+3]([O-])([O-])[O-].c1cn(c[nH+]1)C,,3
430,3,Cn1cc[nH+]c1.[Cl+3]([O-])([O-])([O-])[O-],,3
430,3,[O-][Cl+3]([O-])([O-])[O-].n1(C)cc[nH+]c1,,3
430,3,[O-][Cl+3]([O-])([O-])[O-].c1c[nH+]cn1C,,3
430,3,[O-][Cl+3]([O-])([O-])[O-].c1[nH+]cn(C)c1,,3
430,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],,3
430,3,[O-][Cl+3]([O-])([O-])[O-].c1n(cc[nH+]1)C,,3
310,4,Cn1cc[nH+]c1.F[B-](F)(F)F,,4
310,4,F[B-](F)(F)F.c1n(C)c[nH+]c1,,4
310,4,[B-](F)(F)(F)F.c1n(C)c[nH+]c1,,4
310,4,F[B-](F)(F)F.[nH+]1ccn(C)c1,,4
310,4,F[B-](F)(F)F.c1n(C)c[nH+]c1,,4
310,4,F[B-](F)(F)F.n1(c[nH+]cc1)C,,4
310,4,Cn1cc[nH+]c1.[B-](F)(F)(F)F,,4
310,4,F[B-](F)(F)F.[nH+]1cn(C)cc1,,4
310,4,F[B-](F)(F)F.c1n(cc[nH+]1)C,,4
