MP_K,Normalized SMILES,RANDOM,IL,Normalized SMILES1,target
345.0,Cn1cc[nH+]c1.[Cl-],1,1,Cn1cc[nH+]c1.[Cl-],1
345.0,[Cl-].[nH+]1cn(cc1)C,1,1,Cn1cc[nH+]c1.[Cl-],1
345.0,[Cl-].c1c[nH+]cn1C,1,1,Cn1cc[nH+]c1.[Cl-],1
345.0,[Cl-].c1[nH+]cn(c1)C,1,1,Cn1cc[nH+]c1.[Cl-],1
345.0,Cn1cc[nH+]c1.[Cl-],1,1,Cn1cc[nH+]c1.[Cl-],1
345.0,[Cl-].c1n(C)c[nH+]c1,1,1,Cn1cc[nH+]c1.[Cl-],1
345.0,[Cl-].c1[nH+]ccn1C,1,1,Cn1cc[nH+]c1.[Cl-],1
345.0,[Cl-].c1n(cc[nH+]1)C,1,1,Cn1cc[nH+]c1.[Cl-],1
345.0,[Cl-].c1c[nH+]cn1C,1,1,Cn1cc[nH+]c1.[Cl-],1
345.0,Cn1cc[nH+]c1.[Cl-],1,1,Cn1cc[nH+]c1.[Cl-],1
314.0,Cn1cc[nH+]c1.[Br-],2,2,Cn1cc[nH+]c1.[Br-],1
314.0,[Br-].c1[nH+]ccn1C,2,2,Cn1cc[nH+]c1.[Br-],1
314.0,[Br-].[nH+]1cn(C)cc1,2,2,Cn1cc[nH+]c1.[Br-],1
314.0,[Br-].c1cn(C)c[nH+]1,2,2,Cn1cc[nH+]c1.[Br-],1
314.0,[Br-].c1[nH+]cn(C)c1,2,2,Cn1cc[nH+]c1.[Br-],1
314.0,[Br-].c1[nH+]ccn1C,2,2,Cn1cc[nH+]c1.[Br-],1
314.0,[Br-].c1c[nH+]cn1C,2,2,Cn1cc[nH+]c1.[Br-],1
314.0,[Br-].[nH+]1cn(cc1)C,2,2,Cn1cc[nH+]c1.[Br-],1
314.0,[Br-].[nH+]1ccn(C)c1,2,2,Cn1cc[nH+]c1.[Br-],1
314.0,[Br-].c1c[nH+]cn1C,2,2,Cn1cc[nH+]c1.[Br-],1
430.0,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],3,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],1
430.0,[O-][Cl+3]([O-])([O-])[O-].n1(c[nH+]cc1)C,3,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],1
430.0,[O-][Cl+3]([O-])([O-])[O-].n1(C)cc[nH+]c1,3,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],1
430.0,[O-][Cl+3]([O-])([O-])[O-].n1(C)c[nH+]cc1,3,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],1
430.0,[O-][Cl+3]([O-])([O-])[O-].c1n(C)cc[nH+]1,3,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],1
430.0,[O-][Cl+3]([O-])([O-])[O-].n1(cc[nH+]c1)C,3,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],1
430.0,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],3,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],1
430.0,[O-][Cl+3]([O-])([O-])[O-].n1(C)c[nH+]cc1,3,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],1
430.0,[O-][Cl+3]([O-])([O-])[O-].[nH+]1cn(cc1)C,3,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],1
430.0,[O-][Cl+3]([O-])([O-])[O-].c1n(C)c[nH+]c1,3,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],1
310.0,Cn1cc[nH+]c1.F[B-](F)(F)F,4,4,Cn1cc[nH+]c1.F[B-](F)(F)F,1
310.0,F[B-](F)(F)F.n1(cc[nH+]c1)C,4,4,Cn1cc[nH+]c1.F[B-](F)(F)F,1
310.0,F[B-](F)(F)F.[nH+]1ccn(C)c1,4,4,Cn1cc[nH+]c1.F[B-](F)(F)F,1
310.0,F[B-](F)(F)F.[nH+]1ccn(C)c1,4,4,Cn1cc[nH+]c1.F[B-](F)(F)F,1
310.0,F[B-](F)(F)F.c1[nH+]cn(C)c1,4,4,Cn1cc[nH+]c1.F[B-](F)(F)F,1
310.0,Cn1c[nH+]cc1.F[B-](F)(F)F,4,4,Cn1cc[nH+]c1.F[B-](F)(F)F,1
310.0,F[B-](F)(F)F.c1n(C)cc[nH+]1,4,4,Cn1cc[nH+]c1.F[B-](F)(F)F,1
310.0,F[B-](F)(F)F.c1n(C)cc[nH+]1,4,4,Cn1cc[nH+]c1.F[B-](F)(F)F,1
310.0,F[B-](F)(F)F.c1[nH+]cn(c1)C,4,4,Cn1cc[nH+]c1.F[B-](F)(F)F,1
310.0,F[B-](F)(F)F.c1n(c[nH+]c1)C,4,4,Cn1cc[nH+]c1.F[B-](F)(F)F,1
282.0,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,5,5,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0
282.0,Cn1cc[nH+]c1.S(=O)(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F,5,5,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0
282.0,[N-](S(C(F)(F)F)(=O)=O)S(=O)(=O)C(F)(F)F.c1[nH+]cn(C)c1,5,5,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0
282.0,FC(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F.n1(C)cc[nH+]c1,5,5,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0
282.0,S(=O)(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)=O.c1n(C)c[nH+]c1,5,5,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0
282.0,O=S(C(F)(F)F)(=O)[N-]S(=O)(=O)C(F)(F)F.c1n(C)c[nH+]c1,5,5,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0
282.0,FC(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F.[nH+]1ccn(c1)C,5,5,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0
