IL SMILES,T/K,R,Normalized SMILES,RANDOM,IL
C[n+]1ccccc1.COS(=O)(=O)[O-],303,1.512,COS(=O)(=O)[O-].C[n+]1ccccc1,1,1
CC1=[N+](C=CC=C1)CCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,316,1.444,CCC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,2
C(#N)CC[N+]1=CN(C=C1)CCCCCCCC.FC(S(=O)(=O)[O-])(F)F,318,1.523,CCCCCCCCn1cc[n+](CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3,3
Cn1cc[n+](c1)C.COS(=O)(=O)[O-],293,1.484,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,4,4
CCCCCCCCC[n+]1ccn(c1)C.F[P-](F)(F)(F)(F)F,313,1.421,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,5,5
C(CCC)[NH+]1CN(C=C1)CCCCCCO.[Cl-],318,1.507,CCCC[NH+]1C=CN(CCCCCCO)C1.[Cl-],6,6
C(#N)CC[N+]1=CN(C=C1)CCCCCCCC.FC(S(=O)(=O)[O-])(F)F,298,1.527,CCCCCCCCn1cc[n+](CCC#N)c1.O=S(=O)([O-])C(F)(F)F,7,3
CCC[n+]1ccn(c1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,308,1.422,CCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8,7
CCCCCCCCCCCC[n+]1ccccc1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,318,1.444,CCCCCCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9,8
CC(CCn1nc[n+](c1)CCCCS(=O)(=O)O)C.FC(S(=O)(=O)[O-])(F)F,328,1.425,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,10,9
C(CCC)[N+]1=CC(=CC=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,338,1.434,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,11,10
C(CCCCC)[N+]1=C(C(=CC(=C1)C)C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,328,1.455,CCCCCC[n+]1cc(C)cc(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,12,11
CCCC[n+]1ccn(c1)C.C(#N)[C-](C#N)C#N,353,1.488,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,13,12
C(CCCCCCC)[N+]1=CC=CC=C1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,318,1.441,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,14,13
CC[n+]1ccn(c1)C.FC(S(=O)(=O)[O-])(F)F,338,1.422,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,15,14
CCCC[N+]1(C)CCCC1.C(C)(=O)[O-],328,1.462,CC(=O)[O-].CCCC[N+]1(C)CCCC1,16,15
CCCC[NH+]1C=CN(C1)C.[O-]C(=O)CC,308,1.484,CCC(=O)[O-].CCCC[NH+]1C=CN(C)C1,17,16
CCCC[NH+]1C=NC=C1.S(=O)(=O)(O)[O-],293,1.493,CCCC[NH+]1C=CN=C1.O=S(=O)([O-])O,18,17
CCC[N+]1(C)CCCC1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,323,1.414,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,19,18
CC[S+](CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,308,1.423,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,20,19
CCCC[n+]1ccccc1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,328,1.434,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,21,20
C(C)(C)OC(=O)[C@H]1[NH2+]CCC1.CCCCCCCCCCCCOS(=O)(=O)[O-],328,1.445,CC(C)OC(=O)[C@@H]1CCC[NH2+]1.CCCCCCCCCCCCOS(=O)(=O)[O-],22,21
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,333,1.438,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,23,22
ClCC[NH+]1CCCCC1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,293,1.437,ClCC[NH+]1CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,24,23
CCCCCC[n+]1ccn(c1)CCC#N.C(C)C(COC(C(CC(=O)OCC(CCCC)CC)S(=O)(=O)[O-])=O)CCCC,333,1.47,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCCCC[n+]1ccn(CCC#N)c1,25,24
CCCCC[n+]1ccn(c1)C.OC(=O)CCC(C(=O)[O-])N,308,1.513,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],26,25
CCCC[n+]1cc(C)cc(c1C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,293,1.458,CCCC[n+]1cc(C)cc(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,27,26
CCCC[n+]1ccn(c1)C.C(C)(=O)[O-],298,1.489,CC(=O)[O-].CCCC[n+]1ccn(C)c1,28,27
CC[S+](C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,323,1.416,CC[S+](C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,29,28
C(CCCCCCCCCCC)[NH+]1CN(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,298,1.438,CCCCCCCCCCCC[NH+]1C=CN(C)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30,29
CN(C(=[NH2+])N(C)C)C.COc1ccc(cc1)[O-],318,1.523,CN(C)C(=[NH2+])N(C)C.COc1ccc([O-])cc1,31,30
CCCCCC[n+]1cc(C)cc(c1CC)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,343,1.445,CCCCCC[n+]1cc(C)cc(C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,32,31
C(CCC)[N+]1=CC(=CC=C1)C.C(#N)[N-]C#N,313,1.529,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,33,32
CCCCn1nc[n+](c1)CCCCS(=O)(=O)O.FC(S(=O)(=O)[O-])(F)F,303,1.429,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,34,33
CC[n+]1ccccc1.FS(=O)(=O)[N-]S(F)(=O)=O,323,1.463,CC[n+]1ccccc1.O=S(=O)(F)[N-]S(=O)(=O)F,35,34
CCCCCCCC[N+](C)(C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,313,1.413,CCCCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,36,35
OCC[N+](C)(C)C.CCCCCC(=O)[O-],298,1.471,CCCCCC(=O)[O-].C[N+](C)(C)CCO,37,36
CC(C[n+]1ccn(c1)C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,298,1.427,CC(C)C[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,38,37
C[NH2+]CCO.CC(C(=O)[O-])C,318,1.445,CC(C)C(=O)[O-].C[NH2+]CCO,39,38
CCCCC[n+]1ccn(c1)C.F[P-](F)(F)(F)(F)F,288,1.417,CCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,40,39
CC[n+]1ccccc1C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,293,1.449,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,41,40
OCC[N+](C)(C)C.[O-]C(=O)[C@@H](N)C,333,1.506,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,42,41
CC[n+]1ccn(c1)C.S(=O)(=O)(O)[O-],283,1.5,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,43,42
C(CCC)[N+]1=C(C(=CC(=C1)C)C)CCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,303,1.459,CCCCCc1c(C)cc(C)c[n+]1CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,44,43
CCC[n+]1ccn(c1)C.[O-]C(=O)[C@H](CO)N,333,1.51,CCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],45,44
C(C(C)C)OC([C@H](C)[NH3+])=O.CCCCCCCCCCCCOS(=O)(=O)[O-],313,1.446,CC(C)COC(=O)[C@H](C)[NH3+].CCCCCCCCCCCCOS(=O)(=O)[O-],46,45
CC[NH+]1C=NC=C1.C(C)(=O)[O-],343,1.44,CC(=O)[O-].CC[NH+]1C=CN=C1,47,46
C(CCC)[N+]1=CC(=CC=C1)C.C(#N)[N-]C#N,328,1.524,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,48,32
OCC[N+](C)(C)C.[O-]C(=O)[C@@H]1CCCN1,343,1.531,C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,49,47
C(#N)CCCCC[N+]1(CCCC1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,293,1.465,C[N+]1(CCCCCC#N)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,50,48
CC[n+]1ccccc1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,316,1.436,CC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,51,49
C[N+]1(CCCCC1)CCCCCCCCCCC.ClC1=CC(=C(OCCCC(=O)[O-])C=C1)C,293,1.507,CCCCCCCCCCC[N+]1(C)CCCCC1.Cc1cc(Cl)ccc1OCCCC(=O)[O-],52,50
CCCCCC[N+](C)(C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,308,1.41,CCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,53,51
CN(C(=[NH2+])N(C)C)C.[O-]c1ccc(cc1)F,303,1.518,CN(C)C(=[NH2+])N(C)C.[O-]c1ccc(F)cc1,54,52
CCCC[n+]1ccn(c1)C.C(#N)[N-]C#N,328,1.497,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,55,53
CCCCCC[n+]1ccn(c1)C.[Cl-],328,1.509,CCCCCC[n+]1ccn(C)c1.[Cl-],56,54
CCCCCCN1C=[N+](CCCCS(O)(=O)=O)C=N1.FC(S(=O)(=O)[O-])(F)F,293,1.443,CCCCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,57,55
C[NH2+]CCO.C(C)(=O)[O-],293,1.451,CC(=O)[O-].C[NH2+]CCO,58,56
