IL SMILES,T/K,R,Normalized SMILES,RANDOM,IL
C[n+]1ccccc1.COS(=O)(=O)[O-],303,1.512,COS(=O)(=O)[O-].C[n+]1ccccc1,1,1
C[n+]1ccccc1.COS(=O)(=O)[O-],303,1.512,COS(=O)(=O)[O-].c1c[n+](ccc1)C,1,1
C[n+]1ccccc1.COS(=O)(=O)[O-],303,1.512,COS(=O)(=O)[O-].c1cccc[n+]1C,1,1
C[n+]1ccccc1.COS(=O)(=O)[O-],303,1.512,C[n+]1ccccc1.[O-]S(=O)(OC)=O,1,1
C[n+]1ccccc1.COS(=O)(=O)[O-],303,1.512,O=S(OC)([O-])=O.c1cc[n+](C)cc1,1,1
C[n+]1ccccc1.COS(=O)(=O)[O-],303,1.512,S([O-])(OC)(=O)=O.c1c[n+](ccc1)C,1,1
C[n+]1ccccc1.COS(=O)(=O)[O-],303,1.512,C[n+]1ccccc1.S(OC)(=O)([O-])=O,1,1
C[n+]1ccccc1.COS(=O)(=O)[O-],303,1.512,O=S([O-])(=O)OC.c1c[n+](ccc1)C,1,1
C[n+]1ccccc1.COS(=O)(=O)[O-],303,1.512,O=S(OC)(=O)[O-].[n+]1(C)ccccc1,1,1
C[n+]1ccccc1.COS(=O)(=O)[O-],303,1.512,O=S(=O)([O-])OC.c1c[n+](C)ccc1,1,1
CC1=[N+](C=CC=C1)CCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,316,1.444,CCC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,2
CC1=[N+](C=CC=C1)CCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,316,1.444,O=S(=O)([N-]S(=O)(C(F)(F)F)=O)C(F)(F)F.c1(C)[n+](CCC)cccc1,2,2
CC1=[N+](C=CC=C1)CCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,316,1.444,FC(F)(F)S(=O)([N-]S(=O)(C(F)(F)F)=O)=O.[n+]1(CCC)ccccc1C,2,2
CC1=[N+](C=CC=C1)CCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,316,1.444,O=S([N-]S(C(F)(F)F)(=O)=O)(=O)C(F)(F)F.c1([n+](CCC)cccc1)C,2,2
CC1=[N+](C=CC=C1)CCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,316,1.444,C(C[n+]1ccccc1C)C.FC(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)(F)F,2,2
CC1=[N+](C=CC=C1)CCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,316,1.444,FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O.c1c([n+](CCC)ccc1)C,2,2
