IL,cation,anion,s_mNm,T/K,SMILES,Normalized SMILES,RANDOM
1,CCCCCC[N@@+]12CC[N@@](CC1)CC2,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,35.62,313.15,CCCCCC[N@@+]12CC[N@@](CC1)CC2.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
1,CCCCCC[N@@+]12CC[N@@](CC1)CC2,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,35.33,318.15,CCCCCC[N@@+]12CC[N@@](CC1)CC2.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2
1,CCCCCC[N@@+]12CC[N@@](CC1)CC2,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,35.05,323.15,CCCCCC[N@@+]12CC[N@@](CC1)CC2.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3
1,CCCCCC[N@@+]12CC[N@@](CC1)CC2,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,34.83,328.15,CCCCCC[N@@+]12CC[N@@](CC1)CC2.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4
1,CCCCCC[N@@+]12CC[N@@](CC1)CC2,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,34.51,333.15,CCCCCC[N@@+]12CC[N@@](CC1)CC2.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,5
2,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1,N#C[N-]C#N,30.65,293.15,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1.N#C[N-]C#N,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1.N#C[N-]C#N,6
2,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1,N#C[N-]C#N,30.24,303.15,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1.N#C[N-]C#N,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1.N#C[N-]C#N,7
2,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1,N#C[N-]C#N,29.12,313.15,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1.N#C[N-]C#N,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1.N#C[N-]C#N,8
2,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1,N#C[N-]C#N,28.97,323.15,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1.N#C[N-]C#N,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1.N#C[N-]C#N,9
2,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1,N#C[N-]C#N,28.13,333.15,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1.N#C[N-]C#N,CCCCCCCCCC[N+]1=C2CCCCCN2CCC1.N#C[N-]C#N,10
