T/K,P/MPa,TC/W m-1 K-1,Data type,Name,SMILES,Normalized SMILES,index,P/bar,RANDOM,IL
283.15,0.1,0.1128,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,1,1,1
283.15,0.1,0.1128,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C[N+]1(CCCCC1)CCCC.O=S(C(F)(F)F)([N-]S(=O)(=O)C(F)(F)F)=O,1,1,1,1
283.15,0.1,0.1128,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCC[N+](C)(CCCC)C1.S(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)(=O)=O,1,1,1,1
283.15,0.1,0.1128,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CCC[N+](CCCC)(C)C1.FC(F)(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)F,1,1,1,1
283.15,0.1,0.1128,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)(F)F.C1C[N+](CCCC)(CCC1)C,1,1,1,1
283.15,0.1,0.1128,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(F)(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F.C[N+]1(CCCC)CCCCC1,1,1,1,1
283.15,0.1,0.1128,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(CC[N+]1(CCCCC1)C)C.FC(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F,1,1,1,1
283.15,0.1,0.1128,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(CC[N+]1(CCCCC1)C)C.O=S([N-]S(=O)(C(F)(F)F)=O)(=O)C(F)(F)F,1,1,1,1
283.15,0.1,0.1128,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.FC(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F,1,1,1,1
283.15,0.1,0.1128,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C[N+]1(CCCCC1)C)CC.FC(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)(F)F,1,1,1,1
283.15,5.0,0.113,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,50,2,1
283.15,5.0,0.113,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(C)CCCCC1.[N-](S(C(F)(F)F)(=O)=O)S(=O)(=O)C(F)(F)F,1,50,2,1
283.15,5.0,0.113,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(F)(F)(F)S(=O)([N-]S(=O)(=O)C(F)(F)F)=O.C([N+]1(CCCCC1)C)CCC,1,50,2,1
283.15,5.0,0.113,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(F)(F)(F)S(=O)([N-]S(C(F)(F)F)(=O)=O)=O.C([N+]1(C)CCCCC1)CCC,1,50,2,1
283.15,5.0,0.113,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(CC)C[N+]1(CCCCC1)C.FC(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F,1,50,2,1
283.15,5.0,0.113,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(C)CCCCC1.O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O,1,50,2,1
283.15,5.0,0.113,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C1CC[N+](CC1)(C)CCCC.S(C(F)(F)F)(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1,50,2,1
283.15,5.0,0.113,Training,1-butyl-1-methyl-piperidinium bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,C(C[N+]1(C)CCCCC1)CC.C(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)(F)F,1,50,2,1
