Td/K,IL,Normalized SMILES
648,1,O=S(=O)(O)C(F)(F)F.c1c[nH+]c[nH]1
648,1,FC(S(=O)(O)=O)(F)F.c1[nH]c[nH+]c1
648,1,C(F)(S(=O)(O)=O)(F)F.[nH+]1cc[nH]c1
648,1,FC(S(=O)(=O)O)(F)F.[nH+]1c[nH]cc1
648,1,C(F)(S(=O)(=O)O)(F)F.c1c[nH+]c[nH]1
648,1,S(=O)(C(F)(F)F)(=O)O.[nH]1c[nH+]cc1
648,1,FC(F)(F)S(O)(=O)=O.c1[nH]cc[nH+]1
648,1,O=S(C(F)(F)F)(O)=O.c1c[nH+]c[nH]1
648,1,OS(=O)(=O)C(F)(F)F.[nH+]1c[nH]cc1
648,1,S(=O)(=O)(C(F)(F)F)O.c1[nH]cc[nH+]1
618,2,Cn1cc[nH+]c1.O=S(=O)([O-])O
618,2,[O-]S(=O)(O)=O.[nH+]1cn(cc1)C
618,2,[O-]S(O)(=O)=O.c1cn(c[nH+]1)C
618,2,O=S(=O)([O-])O.n1(c[nH+]cc1)C
618,2,O=S([O-])(=O)O.c1[nH+]cn(C)c1
618,2,[O-]S(=O)(=O)O.[nH+]1ccn(C)c1
618,2,O=S([O-])(O)=O.c1[nH+]cn(C)c1
618,2,O=S(=O)([O-])O.c1cn(C)c[nH+]1
618,2,S(O)(=O)([O-])=O.c1c[nH+]cn1C
618,2,Cn1c[nH+]cc1.S([O-])(O)(=O)=O
531,3,CS(=O)(=O)[O-].Cn1cc[nH+]c1
531,3,O=S([O-])(C)=O.n1(c[nH+]cc1)C
531,3,O=S([O-])(C)=O.c1c[nH+]cn1C
531,3,S(=O)(C)(=O)[O-].c1cn(c[nH+]1)C
531,3,O=S(=O)(C)[O-].c1[nH+]ccn1C
531,3,CS(=O)([O-])=O.[nH+]1ccn(c1)C
531,3,S(C)([O-])(=O)=O.c1[nH+]ccn1C
531,3,O=S(C)([O-])=O.c1cn(c[nH+]1)C
531,3,[O-]S(=O)(=O)C.c1n(cc[nH+]1)C
531,3,O=S([O-])(C)=O.c1n(cc[nH+]1)C
