Dataset ID,IL ID,Cation,Anion,cation SMILES,anion SMILES,IL SMILES,Cationic family,Anionic family,Excluded IL,Accepted dataset,T/K,n_mPas(o),ln(n_mPas),Normalized SMILES,RANDOM,IL
3,1,"azp-2o1,1",ntf2,COCC[N+]1(C)CCCCCC1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,azepanium,NTf2 derivatives,False,True,290.15,221.8,5.401776075,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,1
3,1,"azp-2o1,1",ntf2,COCC[N+]1(C)CCCCCC1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,azepanium,NTf2 derivatives,False,True,295.95,154.7,5.041487758,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2,1
3,1,"azp-2o1,1",ntf2,COCC[N+]1(C)CCCCCC1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,azepanium,NTf2 derivatives,False,True,301.55,111.7,4.715816706,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3,1
3,1,"azp-2o1,1",ntf2,COCC[N+]1(C)CCCCCC1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,azepanium,NTf2 derivatives,False,True,307.15,82.89,4.417514428,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4,1
3,1,"azp-2o1,1",ntf2,COCC[N+]1(C)CCCCCC1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,azepanium,NTf2 derivatives,False,True,312.75,63.33,4.148359151,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,5,1
3,1,"azp-2o1,1",ntf2,COCC[N+]1(C)CCCCCC1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,azepanium,NTf2 derivatives,False,True,318.35,49.58,3.903587527,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,6,1
3,1,"azp-2o1,1",ntf2,COCC[N+]1(C)CCCCCC1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,azepanium,NTf2 derivatives,False,True,323.95,39.71,3.681603045,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7,1
3,1,"azp-2o1,1",ntf2,COCC[N+]1(C)CCCCCC1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,azepanium,NTf2 derivatives,False,True,329.65,32.21,3.472276963,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8,1
3,1,"azp-2o1,1",ntf2,COCC[N+]1(C)CCCCCC1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,azepanium,NTf2 derivatives,False,True,335.25,26.52,3.277899165,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9,1
3,1,"azp-2o1,1",ntf2,COCC[N+]1(C)CCCCCC1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCC[N+]1(C)CCCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,azepanium,NTf2 derivatives,False,True,340.85,22.4,3.109060959,COCC[N+]1(C)CCCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,10,1
