target,Normalized SMILES,RANDOM,IL
345,Cn1cc[nH+]c1.[Cl-],1,1
314,Cn1cc[nH+]c1.[Br-],2,2
430,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],3,3
310,Cn1cc[nH+]c1.F[B-](F)(F)F,4,4
282,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,5,5
284,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,6,6
343,Cn1cc[nH+]c1.O=[N+]([O-])[O-],7,7
357,Cn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,8,8
389,Cn1cc[nH+]c1.F[P-](F)(F)(F)(F)F,9,9
324,Cn1cc[nH+]c1.O=C([O-])C(F)(F)F,10,10
250,CC(=O)[O-].Cn1cc[nH+]c1,11,11
331,CCn1cc[nH+]c1.[Cl-],12,12
333,CCn1cc[nH+]c1.[Br-],13,13
294,CCn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],14,14
304,CCn1cc[nH+]c1.O=[N+]([O-])[O-],15,15
281,CCn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,16,16
398,Cn1cc[n+](C)c1.[Cl-],17,17
376,Cn1cc[n+](C)c1.F[B-](F)(F)F,18,18
295,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,19,19
325,Cn1cc[n+](C)c1.O=C([O-])C(F)(F)F,20,20
288,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)F,21,21
300,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,22,22
284,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,23,23
289,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,24,24
454,Cc1[nH+]ccn1C.[Cl-],25,25
449,Cc1[nH+]ccn1C.[Br-],26,26
337,Cc1[nH+]ccn1C.[O-][Cl+3]([O-])([O-])[O-],27,27
295,Cc1[nH+]ccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,28,28
288,Cc1[nH+]ccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,29,29
357,Cc1[nH+]ccn1C.O=[N+]([O-])[O-],30,30
392,Cc1[nH+]ccn1C.O=S(=O)([O-])C(F)(F)F,31,31
388,Cc1[nH+]ccn1C.F[P-](F)(F)(F)(F)F,32,32
353,CC[n+]1ccn(C)c1.[Cl-],33,33
352,CC[n+]1ccn(C)c1.[I-],34,34
253,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,35,35
274,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,36,36
281,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,37,37
